ID|ESTACION|Latitud|Longitud
8271|PUEBLA DE DON RODRIG|39-05-18N|004-36-59W
8052|PUERTO DE LEITARIEGO|42-59-39N|006-24-51W
8057|PUERTO DE SAN ISIDRO|43-03-42N|005-22-36W
8059|PUNTA GALEA|43-22-32N|003-01-09W
8275|QUINTANAR DE LA ORDE|39-35-49N|003-02-48W
8175|REUS/AEROPUERTO|41-09N|001-10E
8118|RIPOLL|42-11-29N|002-11-44E
8212|ROBLEDO DE CHAVELA|40-25-40N|004-15-00W
8399|RODA DE ANDALUCIA|37-11-39N|004-46-09W
8492|ROQUETAS DE MAR-FARO|36-41-12N|002-42-06W
8449|ROTA B.N. OBSERVATORIO|36-39N|006-21W
8312|SA POBLA-SA CANOVA|39-44-57N|003-01-00E
8195|SAELICES EL CHICO|40-38-04N|006-35-57W
8201|SALAMANCA,OBS.|40-57-27N|005-39-42W
8202|SALAMANCA/MATACAN|40-57N|005-30W
8918|SALLENT DE GALLEGO,  FORMIGAL|42-47N|000-22W
8917|SALLENT DE GALLEGO,  FURCO|42-46N|000-23W
8920|SALLENT DE GALLEGO,  RESPOMUSO|42-49N|000-17W
8256|SAN CLEMENTE|39-25-00N|002-25-14W
8453|SAN FERNANDO|36-27-56N|006-12-20W
8270|SAN PABLO DE LOS MON|39-32-48N|004-21-02W
8029|SAN SEBASTIAN/FUENTERRABIA|43-21N|001-48W
8027|SAN SEBASTIAN/IGUELDO|43-18N|002-03W
8017|SAN VICENTE, FARO|43-23-35N|004-23-30W
8240|SANT JAUME|40-41-57N|000-48-33E
8350|SANTA ELENA|38-20-39N|003-32-07W
8188|SANTA SUSANA|41-39-01N|002-41-48E
8023|SANTANDER|43-28N|003-49W
8021|SANTANDER/PARAYAS|43-26N|003-49W
8041|SANTIAGO DE COMPOSTE|42-52-32N|008-33-20W
8042|SANTIAGO DE COMPOSTELA/LABACOLLA|42-54N|008-26W
8213|SEGOVIA|40-57N|004-07W
8391|SEVILLA/SAN PABLO|37-25N|005-54W
8303|SIERRA DE ALFABIA|39-44-04N|002-42-47E
8262|SIERRA DE FUENTES|39-26N|006-17W
8150|SIGUENZA|41-05-11N|002-37-05W
8145|SOMOSIERRA|41-08-08N|003-34-49W
8148|SORIA|41-46N|002-28W
8090|SOS DEL REY CATOLICO|42-29-25N|001-12-47W
8208|SOTILLO DE LA ADRADA|40-17-17N|004-35-26W
8112|TALARN|42-12N|000-52E
8274|TALAVERA DE LA REINA|39-57-29N|004-51-47W
8277|TARANCON|40-00-41N|003-01-17W
8458|TARIFA|36-00N|005-36W
8173|TARREGA|41-39-01N|001-08-57E
8235|TERUEL|40-21N|001-07W
8272|TOLEDO|39-53N|004-03W
8276|TOMELLOSO|39-10-09N|003-00-24W
8228|TORREJON DE VELASCO|40-11N|003-43W
8238|TORTOSA|40-49N|000-30E
8263|TRUJILLO|39-28-57N|005-51-15W
8281|UTIEL, LA CUBERA|39-34-31N|001-14-39W
8960|VALDELINARES, ESQUI|40-23N|000-38W
8351|VALDEPENAS|38-45-02N|003-23-29W
8260|VALENCIA DE ALCANTAR|39-24-55N|007-14-52W
8285|VALENCIA VIVEROS|39-29N|000-23W
8284|VALENCIA/AEROPUERTO|39-30N|000-28W
8141|VALLADOLID|41-39N|004-46W
8140|VALLADOLID/VILLANUBLA|41-43N|004-51W
8948|VALLTER 2000|42-26N|002-16E
8169|VANDELLOS|40-57-29N|000-52-15E
8457|VEJER DE LA FRONTERA|36-14-44N|005-57-52W
8045|VIGO/PEINADOR|42-13N|008-38W
8241|VILLAFRANCA|40-25-59N|000-15-20E
8346|VILLANUEVA DE CORDOB|38-19-59N|004-36-32W
8125|VILLARDECIERVOS|41-56-29N|006-16-45W
8354|VILLARRODRIGO|38-29-21N|002-38-17W
8239|VINAROZ|40-33-33N|000-25-50E
8345|VISO DEL MARQUES|38-31-04N|003-34-00W
8129|VITIGUDINO|41-00-41N|006-26-15W
8080|VITORIA/FORONDA|42-53N|002-43W
8290|XATIVA|39-00-06N|000-31-23W
8050|XINZO DE LIMIA|42-04-45N|007-43-59W
8356|YECLA|38-36-06N|001-09-33W
8130|ZAMORA|41-30N|005-45W
8159|ZARAGOZA-VALDESPARTE|41-37-14N|000-56-06W
8160|ZARAGOZA/AEROPUERTO|41-39-38N|001-00-15W
8037|ZUMARRAGA-URZABALETA|43-04-46N|002-19-04W
8026|ZUMAYA,FARO|43-18-06N|002-15-02W
