ID|ESTACION|Estado|Latitud|Longitud
8260|VALENCIA DE ALCANTAR|SPAIN|39.415277777777774|-7.247777777777777
8263|TRUJILLO|SPAIN|39.4825|-5.854166666666667
8264|HERRERA DEL DUQUE|SPAIN|39.16916666666667|-5.0616666666666665
8270|SAN PABLO DE LOS MON|SPAIN|39.54666666666667|-4.350555555555555
8271|PUEBLA DE DON RODRIG|SPAIN|39.08833333333333|-4.616388888888888
8273|MADRIDEJOS|SPAIN|39.49138888888889|-3.5280555555555555
8274|TALAVERA DE LA REINA|SPAIN|39.95805555555555|-4.8630555555555555
8275|QUINTANAR DE LA ORDE|SPAIN|39.596944444444446|-3.046666666666667
8276|TOMELLOSO|SPAIN|39.16916666666667|-3.006666666666667
8277|TARANCON|SPAIN|40.01138888888889|-3.0213888888888887
8278|CHINCHILLA/CENAD|SPAIN|38.9375|-1.6580555555555556
8279|ALBACETE,OBS.|SPAIN|39.00527777777778|-1.8616666666666668
8281|UTIEL, LA CUBERA|SPAIN|39.57527777777778|-1.2441666666666666
8282|OLIVA|SPAIN|38.92888888888889|-0.09555555555555556
8287|POLINYA|SPAIN|39.18416666666667|-0.3716666666666667
8290|XATIVA|SPAIN|39.001666666666665|-0.5230555555555555
8331|MERIDA|SPAIN|38.915277777777774|-6.385555555555555
8333|DON BENITO|SPAIN|38.95527777777778|-5.880277777777778
8336|LLERENA|SPAIN|38.23166666666667|-6.016666666666667
8337|JEREZ DE LOS CABALLE|SPAIN|38.297777777777775|-6.764166666666666
8345|VISO DEL MARQUES|SPAIN|38.51777777777778|-3.5666666666666664
8346|VILLANUEVA DE CORDOB|SPAIN|38.33305555555555|-4.608888888888889
8347|ANDUJAR|SPAIN|38.02305555555556|-4.063888888888889
8350|SANTA ELENA|SPAIN|38.344166666666666|-3.535277777777778
8351|VALDEPENAS|SPAIN|38.75055555555556|-3.391388888888889
8352|ARROYO DEL OJANCO|SPAIN|38.31444444444445|-2.8891666666666667
8353|CAZORLA|SPAIN|37.91555555555556|-3.0030555555555556
8354|VILLARRODRIGO|SPAIN|38.48916666666667|-2.6380555555555554
8355|HELLIN|SPAIN|38.541666666666664|-1.7030555555555555
8356|YECLA|SPAIN|38.60166666666667|-1.1591666666666667
8357|PINOSO|SPAIN|38.399166666666666|-1.0380555555555555
8363|CIEZA, PARQUE DE BOM|SPAIN|38.23277777777778|-1.3805555555555555
8365|CARAVACA,FUENTES DEL|SPAIN|38.10166666666667|-1.8766666666666667
8380|ALAJAR, CABEZO MOLIN|SPAIN|37.86805555555556|-6.674166666666666
8381|AYAMONTE, ISLA CANEL|SPAIN|37.19416666666667|-7.394444444444445
8384|EL ARENOSILLO|SPAIN|37.10138888888889|-6.736944444444444
8392|CAZALLA DE LA SIERRA|SPAIN|37.92638888888889|-5.769166666666667
8395|ECIJA|SPAIN|37.51555555555556|-5.085277777777778
8399|RODA DE ANDALUCIA|SPAIN|37.19416666666667|-4.769166666666667
8412|DOA MENCIA|SPAIN|37.55555555555556|-4.353888888888889
8413|ANTEQUERA-BOBADILLA|SPAIN|37.02916666666667|-4.748055555555555
8414|LOJA|SPAIN|37.16138888888889|-4.1691666666666665
8424|BAZA, CRUZ ROJA|SPAIN|37.50527777777778|-2.734166666666667
8426|LORCA|SPAIN|37.654444444444444|-1.6866666666666668
8427|ABLA|SPAIN|37.14138888888889|-2.7794444444444446
8428|HUERCAL OVERA|SPAIN|37.39055555555556|-1.9430555555555555
8432|AGUILAS|SPAIN|37.416666666666664|-1.5866666666666667
8434|CARTAGENA|SPAIN|37.60166666666667|-0.9866666666666667
8453|SAN FERNANDO|SPAIN|36.465555555555554|-6.205555555555556
8455|GRAZALEMA|SPAIN|36.760555555555555|-5.3741666666666665
8457|VEJER DE LA FRONTERA|SPAIN|36.245555555555555|-5.964444444444444
8463|ESTEPONA|SPAIN|36.416666666666664|-5.154166666666667
8479|MALAGA,PUERTO|SPAIN|36.71666666666667|-4.4191666666666665
8480|FUENGIROLA|SPAIN|36.53805555555556|-4.6177777777777775
8481|MALAGA,CMT|SPAIN|36.717777777777776|-4.4816666666666665
8485|MOTRIL,CLUB NAUTICO|SPAIN|36.72416666666667|-3.528888888888889
8486|ADRA,CLUB NAUTICO|SPAIN|36.74666666666667|-3.0205555555555557
8492|ROQUETAS DE MAR-FARO|SPAIN|36.68666666666667|-2.7016666666666667
8911|ARAGUES DEL PUERTO, LIZARRA|SPAIN|42.766666666666666|-0.6333333333333333
8913|ANSO, REFUGIO DE LINZA|SPAIN|42.9|-0.8
8914|CANDANCHU, ETUKSA|SPAIN|42.78333333333333|-0.5333333333333333
8917|SALLENT DE GALLEGO,  FURCO|SPAIN|42.766666666666666|-0.38333333333333336
8918|SALLENT DE GALLEGO,  FORMIGAL|SPAIN|42.78333333333333|-0.36666666666666664
8924|PANTICOSA, ESQUI|SPAIN|42.7|-0.26666666666666666
8958|CAMARENA DE LA SIERRA|SPAIN|40.11666666666667|-1.0333333333333334
8960|VALDELINARES, ESQUI|SPAIN|40.38333333333333|-0.6333333333333333
8112|TALARN|SPAIN|42.2|0.8666666666666667
8117|LA MOLINA|SPAIN|42.333333333333336|1.9333333333333333
8171|LLEIDA|SPAIN|41.62611111111111|0.5980555555555556
8175|REUS/AEROPUERTO|SPAIN|41.15|1.1666666666666667
8181|BARCELONA/AEROPUERTO|SPAIN|41.28333333333333|2.066666666666667
8184|GIRONA/COSTA BRAVA|SPAIN|41.9|2.7666666666666666
8238|TORTOSA|SPAIN|40.81666666666667|0.5
8306|PALMA DE MALLORCA/SON SAN JUAN|SPAIN|39.55|2.7333333333333334
8314|MENORCA/AEROPUERTO|SPAIN|39.86666666666667|4.233333333333333
8373|IBIZA/ES CODOLA|SPAIN|38.86666666666667|1.3833333333333333
8301|PALMA DE MALLORCA, CMT|SPAIN|39.55|2.6166666666666667
8103|BIELSA|SPAIN|42.63|0.22416666666666665
8107|ARTIES|SPAIN|42.70027777777778|0.8766666666666667
8115|LA SEO DURGELL|SPAIN|42.354166666666664|1.4627777777777777
8118|RIPOLL|SPAIN|42.19138888888889|2.1955555555555555
8120|PORQUERES|SPAIN|42.104166666666664|2.7630555555555554
8169|VANDELLOS|SPAIN|40.95805555555555|0.8708333333333333
8173|TARREGA|SPAIN|41.65027777777778|1.1491666666666667
8174|MANRESA|SPAIN|41.72027777777778|1.8391666666666668
8180|BARCELONA,CMT|SPAIN|41.39055555555556|2.2
8186|ARENYS DE MAR|SPAIN|41.586666666666666|2.54
8188|SANTA SUSANA|SPAIN|41.65027777777778|2.6966666666666668
8239|VINAROZ|SPAIN|40.55916666666667|0.4305555555555555
8240|SANT JAUME|SPAIN|40.69916666666667|0.8091666666666666
8241|VILLAFRANCA|SPAIN|40.433055555555555|0.2555555555555556
8303|SIERRA DE ALFABIA|SPAIN|39.73444444444444|2.7130555555555556
8304|LLUC|SPAIN|39.823055555555555|2.8855555555555554
8309|PORTO COLOM|SPAIN|39.41416666666667|3.2716666666666665
8310|PORRERES|SPAIN|39.52166666666667|3.0191666666666666
8311|CAPDEPERA-FAR0|SPAIN|39.715555555555554|3.4775
8312|SA POBLA-SA CANOVA|SPAIN|39.74916666666667|3.0166666666666666
8370|JAVEA, AYUNTAMIENTO|SPAIN|38.784166666666664|0.16666666666666666
8925|ERISTE, REFUGIO ANGEL ORUS|SPAIN|42.63333333333333|0.45
8926|FANLO, REFUGIO DE GORIZ|SPAIN|42.666666666666664|0.016666666666666666
8928|BENASQUE, REFUGIO DE ESTOS|SPAIN|42.68333333333333|0.48333333333333334
8930|CERLER, ESQU COTA 2000|SPAIN|42.583333333333336|0.5333333333333333
8927|BIELSA, REFUGIO DE PINETA|SPAIN|42.666666666666664|0.1
