IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
60010||IZANA|SPAIN|28-18N|016-30W|2367|
8091||JACA|SPAIN|42-34-42N|000-32-48W|823|
8417||JAEN|SPAIN|37-47N|003-48W|582|
8370||JAVEA - AYUNTAMIENTO|SPAIN|38-47-03N|000-10-00E|15|
8451|LEJR|JEREZ DE LA FRONTERAAEROPUERTO|SPAIN|36-45N|006-04W|27|
8337||JEREZ DE LOS CABALLE|SPAIN|38-17-52N|006-45-51W|381|
8001||LA CORUNA|SPAIN|43-22N|008-25W|58|
8002|LECO|LA CORUNA / ALVEDRO|SPAIN|43-18N|008-23W|97|
8205||LA COVATILLA - ESTACI|SPAIN|40-21-15N|005-41-21W|1960|
60007|GCGM|LA GOMERA/AEROPUERTO|SPAIN|28-02N|017-13W|219|
8117||LA MOLINA|SPAIN|42-20N|001-56E|1704|
60005|GCLA|LA PALMA / AEROPUERTO|SPAIN|28-37N|017-45W|29|
8143||LA PINILLA - ESTACION|SPAIN|41-11-30N|003-28-31W|1798|
8115||LA SEO DURGELL|SPAIN|42-21-15N|001-27-46E|677|
8123||LAGUNAS DE SOMOZA|SPAIN|42-22-37N|006-11-48W|1020|
60040|GCRR|LANZAROTE / AEROPUERTO|SPAIN|28-57N|013-36W|14|
60032||LAS PALMAS DE GC. PL|SPAIN|28-06-47N|015-25-17W|15|
60030|GCLP|LAS PALMAS DE GRAN CANARIA / GANDO|SPAIN|27-56N|015-23W|23|
60029||LAS PALMAS G.C.-SAN|SPAIN|28-05-22N|015-24-56W|55|
8024||LEKEITIO - FARO|SPAIN|43-22-36N|002-30-37W|12|
8055|LELN|LEON / VIRGEN DEL CAMINO|SPAIN|42-35N|005-39W|926|
8016||LLANES|SPAIN|43-25-13N|004-44-53W|10|
8171||LLEIDA|SPAIN|41-37-34N|000-35-53E|199|
|LEDA|LLEIDA - ALGUAIRE / AEROPUERTO|SPAIN|41-43-40N|000-32-09E|345|
8336||LLERENA|SPAIN|38-13-54N|006-01-00W|655|
8304||LLUC|SPAIN|39-49-23N|002-53-08E|490|
8308||LLUCMAYOR|SPAIN|39-23N|002-47E|113|
8084|LELO|LOGRONO / AGONCILLO|SPAIN|42-27N|002-20W|353|
8414||LOJA|SPAIN|37-09-41N|004-10-09W|585|
8426||LORCA|SPAIN|37-39-16N|001-41-12W|312|
8008||LUGO / ROZAS|SPAIN|43-07N|007-27W|445|
8222||MADRID|SPAIN|40-25N|003-41W|655|
8221|LEMD|MADRID / BARAJAS|SPAIN|40-27N|003-33W|609|
8220||MADRID / C. UNIVERSITARIA|SPAIN|40-27N|003-43W|664|
8223|LEVS|MADRID / CUATRO VIENTOS|SPAIN|40-23N|003-47W|690|
8224|LEGT|MADRID / GETAFE|SPAIN|40-18N|003-43W|620|
8227|LETO|MADRID / TORREJON|SPAIN|40-29N|003-27W|607|
8273||MADRIDEJOS|SPAIN|39-29-29N|003-31-41W|690|
8481||MALAGA - CMT|SPAIN|36-43-04N|004-28-54W|60|
8479||MALAGA - PUERTO|SPAIN|36-43-00N|004-25-09W|25|
8482|LEMG|MALAGA / AEROPUERTO|SPAIN|36-40N|004-29W|16|
8302||MALLORCA-SON BONET|SPAIN|39-36N|002-42E|41|
8174||MANRESA|SPAIN|41-43-13N|001-50-21E|291|
8043||MARIN|SPAIN|42-24N|008-42W|3|
8944||MASELLA|SPAIN|42-20N|001-53E|1985|
60037||MASPALOMAS|SPAIN|27-44-08N|015-35-44W|6|
8063||MEDINA DE POMAR|SPAIN|42-55-12N|003-28-54W|580|
60338|GEML|MELILLA|SPAIN|35-17N|002-57W|47|
8314|LEMH|MENORCA / MAHON|SPAIN|39-52N|004-14E|87|
8331||MERIDA|SPAIN|38-54-55N|006-23-08W|228|
8232||MOLINA DE ARAGON|SPAIN|40-51N|001-53W|1056|
8003||MONTEFARO|SPAIN|43-27N|008-17W|240|
8397|LEMO|MORON DE LA FRONTERA|SPAIN|37-09N|005-37W|87|
8485||MOTRIL - CLUB NAUTICO|SPAIN|36-43-27N|003-31-44W|12|
8430||MURCIA|SPAIN|38-00N|001-10W|61|
|LEMI|MURCIA - CORVERA / AEROPUERTO|SPAIN|37-47-25N|001-08-31W|193|
8429|LERI|MURCIA / ALCANTARILLA|SPAIN|37-57N|001-14W|75|
8433|LELC|MURCIA / SAN JAVIER|SPAIN|37-47N|000-48W|5|
8215||NAVACERRADA|SPAIN|40-47N|004-01W|1894|
8254||NAVALMORAL DE LA MAT|SPAIN|39-56-44N|005-34-54W|269|
8206||NAVARREDONDA DE GRED|SPAIN|40-21-02N|005-08-35W|1525|
8032||NESTARES|SPAIN|42-59-29N|004-09-38W|870|
8489||NIJAR|SPAIN|36-50N|002-05W|485|
8946||NURIA|SPAIN|42-24N|002-09E|1967|
8047||O CARBALLIÑO|SPAIN|42-25-17N|008-05-31W|400|
8282||OLIVA|SPAIN|38-55-44N|000-05-44W|5|
8142||OLMEDO|SPAIN|41-19-31N|004-41-12W|740|
8048||ORENSE|SPAIN|42-20N|007-52W|128|
8015||OVIEDO|SPAIN|43-21N|005-52W|335|
8039||PADRON|SPAIN|42-44-17N|008-37-36W|120|
60034||PAJARA MORRO JABLE|SPAIN|28-02-57N|014-21-29W|15|
8031||PAJARES - VALGRANDE|SPAIN|42-58-41N|005-46-35W|1480|
8149||PALACIOS DE LA SIERR|SPAIN|41-57-33N|003-07-54W|1080|
8072||PALENCIA-AUTILLA PINO|SPAIN|42-00N|004-36W|860|
8301||PALMA DE MALLORCA|SPAIN|39-33N|002-37E|3|
8306|LEPA|PALMA DE MALLORCA / SON SAN JUAN|SPAIN|39-33N|002-44E|4|
8085|LEPP|PAMPLONA / NOAIN|SPAIN|42-46N|001-38W|459|
