ID|ESTACION|IIiii|OACI|Nombre|Estado|Latitud|Longitud|Altitud|Notas
8412|DOA MENCIA|8412.0||DOÑA MENCIA|SPAIN|37-33-20N|004-21-14W|650|
8333|DON BENITO|8333.0||DON BENITO|SPAIN|38-57-19N|005-52-49W|273|
8395|ECIJA|8395.0||ECIJA|SPAIN|37-30-56N|005-05-07W|130|
8384|EL ARENOSILLO|8384.0||EL ARENOSILLO|SPAIN|37-06-05N|006-44-13W|41|
8036|ELGOIBAR,IBERDROLA|8036.0||ELGOIBAR - IBERDROLA|SPAIN|43-12-33N|002-24-47W|120|
8925|ERISTE, REFUGIO ANGEL ORUS|8925.0||ERISTE, REFUGIO ANGEL ORUS|SPAIN|42-38N|000-27E|2150|
8004|ESTACA DE BARES|8004.0||ESTACA DE BARES|SPAIN|43-47-08N|007-41-03W|100|
8463|ESTEPONA|8463.0||ESTEPONA|SPAIN|36-25-00N|005-09-15W|15|
8926|FANLO, REFUGIO DE GORIZ|8926.0||FANLO,' REFUGIO DE GORIZ|SPAIN|42-40N|000-01E|2215|
8040|FISTERRA|8040.0||FISTERRA|SPAIN|42-55-27N|009-17-29W|230|
8364|FORTUNA|8364.0||FORTUNA|SPAIN|38-16N|001-11W|1264|
8480|FUENGIROLA|8480.0||FUENGIROLA|SPAIN|36-32-17N|004-37-04W|9|
8014|GIJON-MUSEL|8014.0||GIJON-MUSEL|SPAIN|43-33-36N|005-42-03W|6|
8184|GIRONA/COSTA BRAVA|8184.0|LEGE|GERONA / COSTA BRAVA|SPAIN|41-54N|002-46E|143|
8419|GRANADA/AEROPUERTO|8419.0|LEGR|GRANADA / AEROPUERTO|SPAIN|37-11N|003-47W|567|
8420|GRANADA/BASE AEREA|8420.0||GRANADA/BASE AEREA|SPAIN|37-08N|003-38W|687|
8455|GRAZALEMA|8455.0||GRAZALEMA|SPAIN|36-45-38N|005-22-27W|913|
8226|GUADALAJARA|8226.0||GUADALAJARA|SPAIN|40-37-49N|003-09-00W|724|
8035|GUENES|8035.0||GÜEÑES|SPAIN|43-12-11N|003-06-15W|208|
8355|HELLIN|8355.0||HELLIN|SPAIN|38-32-30N|001-42-11W|605|
8264|HERRERA DEL DUQUE|8264.0||HERRERA DEL DUQUE|SPAIN|39-10-09N|005-03-42W|447|
